audio,target
[0. 0. 0. ... 0. 0. 0.],0
"[-0.01184082 -0.10336304 -0.14141846 ...  0.06985474  0.04049683
  0.00274658]",14
"[-0.00695801 -0.01251221 -0.01126099 ...  0.215271   -0.00875854
 -0.28903198]",36
[0.53897095 0.39627075 0.26739502 ... 0.09729004 0.11227417 0.07983398],36
"[-0.00036621 -0.0007019  -0.00079346 ...  0.00317383  0.00222778
  0.00158691]",19
"[-9.4604492e-04 -6.7138672e-04 -6.1035156e-05 ... -2.1362305e-03
 -2.6245117e-03 -3.1738281e-03]",19
[0.00012207 0.00018311 0.00012207 ... 0.         0.         0.        ],30
[0.00170898 0.00177002 0.00177002 ... 0.00088501 0.00021362 0.        ],34
"[-0.44656372 -0.4701233  -0.4803772  ... -0.06384277 -0.05136108
 -0.04431152]",9
"[3.0517578e-05 0.0000000e+00 0.0000000e+00 ... 0.0000000e+00 0.0000000e+00
 0.0000000e+00]",30
"[3.0517578e-05 3.0517578e-05 3.0517578e-05 ... 0.0000000e+00 0.0000000e+00
 0.0000000e+00]",30
"[-6.1035156e-05 -6.1035156e-05  6.1035156e-05 ... -1.9592285e-01
 -1.7294312e-01 -9.9822998e-02]",22
"[-0.0718689  -0.06530762 -0.07348633 ...  0.          0.
  0.        ]",22
"[ 0.01879883 -0.01760864 -0.05441284 ... -0.02911377 -0.02935791
 -0.0296936 ]",22
"[-0.00256348 -0.00112915  0.00012207 ...  0.          0.
  0.        ]",0
"[-0.25811768 -0.26950073 -0.2106018  ... -0.526001   -0.65093994
 -0.71273804]",22
[0.04312134 0.04193115 0.04037476 ... 0.0151062  0.01547241 0.01589966],19
[0.04458618 0.04342651 0.04098511 ... 0.00057983 0.00061035 0.00064087],48
[0.00192261 0.00195312 0.00195312 ... 0.00036621 0.00033569 0.00027466],48
"[3.6621094e-04 2.4414062e-04 1.8310547e-04 ... 3.0517578e-05 1.2207031e-04
 2.1362305e-04]",48
[0.00106812 0.0010376  0.00073242 ... 0.00421143 0.00421143 0.00408936],48
"[ 0.00186157  0.00183105  0.00180054 ... -0.00408936 -0.00479126
 -0.00375366]",22
"[ 0.01211548 -0.01367188 -0.0380249  ...  0.02749634  0.02890015
  0.02926636]",22
[0.00140381 0.00137329 0.0027771  ... 0.00827026 0.00756836 0.00619507],22
"[-0.01260376 -0.01504517 -0.01544189 ...  0.2816162   0.3723755
  0.32009888]",41
"[-0.02444458 -0.02584839  0.03198242 ...  0.04348755  0.04519653
  0.04714966]",47
"[ 0.0000000e+00 -9.1552734e-05  6.1035156e-05 ... -1.2207031e-04
 -7.0190430e-04 -1.5258789e-03]",31
"[-6.1035156e-05 -3.0517578e-05 -6.1035156e-05 ...  3.9672852e-04
  3.0517578e-04  9.1552734e-05]",17
"[ 0.10174561  0.09512329  0.09362793 ... -0.01800537 -0.01589966
 -0.01275635]",45
"[-0.00912476 -0.00897217 -0.0088501  ... -0.01446533 -0.01449585
 -0.01443481]",8
[0.00354004 0.00262451 0.00183105 ... 0.0017395  0.00161743 0.00125122],15
"[ 0.0005188   0.00054932  0.00054932 ... -0.00332642 -0.0039978
 -0.00302124]",15
"[ 0.00143433  0.00161743  0.00161743 ... -0.00238037 -0.00186157
 -0.00137329]",15
[0.02905273 0.0383606  0.04721069 ... 0.08413696 0.07583618 0.07800293],46
[0.07165527 0.09411621 0.11624146 ... 0.12335205 0.11184692 0.09912109],46
